event,year,month,day,category,description,difficulty,region,tags,source,wikipediaSlug,imageCaption
End of the Diponegoro war . The whole area of Yogyakarta and Surakarta Manca nag,27,,,war-politics,"End of the Diponegoro war . The whole area of Yogyakarta and Surakarta Manca nagara Dutch seized on September 27 , Klaten Agreement determines a fixed boundary between Surakarta and Yogyakarta and permanently divide the kingdom of Mataram was signed by Sasradiningrat, Pepatih Dal",2,Europe,war;art,https://en.wikipedia.org/wiki/Diponegoro_war,Diponegoro_war,
August 22 : Nat Turner and a band of slaves lead an insurrection in Southampton,22,,,war-politics,"August 22 : Nat Turner and a band of slaves lead an insurrection in Southampton County, Virginia . The rebellion is put to an end two days later. As many as two hundred African Americans, including innocent victims, died as a result. [ 58 ]",2,Africa,africa,https://en.wikipedia.org/wiki/August_22,August_22,
Ireland,58,,,war-politics,"Ireland is an island in the North Atlantic Ocean, in Northwestern Europe. Geopolitically, the island is divided between the Republic of Ireland and Northern Ireland. It is separated from Great Britain to its east by the North Channel, the Irish Sea, and St George's Channel.",2,Europe,europe;republic,https://en.wikipedia.org/wiki/Ireland,Ireland,Island in the North Atlantic Ocean
Second phase of Padri War. (to 1838 ),1838,,,war-politics,Second phase of Padri War. (to 1838 ),2,Global,war,https://en.wikipedia.org/wiki/1838,1838,
Slavery Abolition Act 1833,1833,,,war-politics,The Slavery Abolition Act 1833 was an act of the Parliament of the United Kingdom which abolished slavery in the British Empire by way of compensated emancipation.,1,Global,empire,https://en.wikipedia.org/wiki/Slavery_Abolition_Act_1833,Slavery_Abolition_Act_1833,Law which abolished slavery in the British Empire
1838: Rebellions of 1837 fail in Canada,1837,,,war-politics,1837–1838: Rebellions of 1837 fail in Canada .,2,Americas,,https://en.wikipedia.org/wiki/Rebellions_of_1837,Rebellions_of_1837,
"May 23 : Persian Prophet the Báb announces his revelation, founding Bábísm . He",23,,,war-politics,"May 23 : Persian Prophet the Báb announces his revelation, founding Bábísm . He announced to the world of the coming of "" He whom God shall make manifest "". He is considered the forerunner of Bahá'u'lláh , the founder of the Baháʼí Faith .",2,Asia,,https://en.wikipedia.org/wiki/May_23,May_23,
October 22 : Millerite movement awaits the Second Advent of Jesus Christ . Chris,22,,,war-politics,October 22 : Millerite movement awaits the Second Advent of Jesus Christ . Christ's non-appearance becomes known as the Great Disappointment .,2,Global,,https://en.wikipedia.org/wiki/October_22,October_22,
First publicly funded telegraph line in the world—between Baltimore and Washingt,24,,,science-technology,"First publicly funded telegraph line in the world—between Baltimore and Washington—sends demonstration message on 24 May, ushering in the age of the telegraph. This message read ""What hath God wrought?"" (Bible, Numbers 23:23)",2,Global,,https://en.wikipedia.org/wiki/Telegraph,Telegraph,
Lunacy Act 1845 passes through Parliament,1845,,,war-politics,Lunacy Act 1845 passes through Parliament.,2,Global,,https://en.wikipedia.org/wiki/Lunacy_Act_1845,Lunacy_Act_1845,
1847: Mormon migration to Utah . Liberal and nationalist pressure led to the Eur,1848,,,war-politics,1846–1847: Mormon migration to Utah . Liberal and nationalist pressure led to the European revolutions of 1848 .,1,Europe,revolution;europe;evolution,https://en.wikipedia.org/wiki/History_of_the_Latter_Day_Saint_movement,History_of_the_Latter_Day_Saint_movement,
Revolutions of 1848 across Europe; crushed by conservatives,1848,,,war-politics,Revolutions of 1848 across Europe; crushed by conservatives.,1,Europe,revolution;europe;evolution,https://en.wikipedia.org/wiki/Revolutions_of_1848,Revolutions_of_1848,
"Earliest recorded air raid , as Austria launches from land and from the ship SMS",200,,,war-politics,"Earliest recorded air raid , as Austria launches from land and from the ship SMS Vulcano some 200 incendiary balloons against Venice .",2,Global,,https://en.wikipedia.org/wiki/Airstrike,Airstrike,
Taiping Rebellion,20,,,war-politics,"The Taiping Rebellion, also known as the Taiping Civil War, Revolution, or Movement, was a civil war in late imperial China between the Qing dynasty and the rebel Taiping Heavenly Kingdom. The conflict lasted 14 years, from its outbreak in 1850 until the fall of Taiping-controlled Nanjing — which had been renamed to Tianjing — in 1864. The last rebel forces were defeated in August 1871.",1,Asia,war;revolution;evolution,https://en.wikipedia.org/wiki/Taiping_Rebellion,Taiping_Rebellion,Major rebellion in China (1850–1864)
1858: Indian Rebellion of 1857 : The British Empire assumes control of India fro,1857,,,war-politics,1857–1858: Indian Rebellion of 1857 : The British Empire assumes control of India from the East India Company .,2,Asia,empire,https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857,Indian_Rebellion_of_1857,
1947: British Empire in India lasts for 90 years,90,,,war-politics,1858–1947: British Empire in India lasts for 90 years.,2,Asia,empire,https://en.wikipedia.org/wiki/British_Empire_in_India,British_Empire_in_India,
June 3 : An earthquake leaves Manila in ruins,3,,,art-culture-religion,June 3 : An earthquake leaves Manila in ruins.,2,Global,art;earthquake,https://en.wikipedia.org/wiki/June_3,June_3,
November 30,30,,,war-politics,November 30 is the 334th day of the year in the Gregorian calendar; 31 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/November_30,November_30,Day of the year
United States President Abraham Lincoln issues the Emancipation Proclamation . L,1862,9,22,war-politics,"United States President Abraham Lincoln issues the Emancipation Proclamation . Lincoln issued a preliminary [ 61 ] on September 22, 1862, warning that in all states still in rebellion ( Confederacy ) on January 1, 1863, he would declare their slaves ""then, thenceforward, and fore",3,Americas,war,https://en.wikipedia.org/wiki/Abraham_Lincoln,Abraham_Lincoln,
May 21,21,,,war-politics,May 21 is the 141st day of the year in the Gregorian calendar; 224 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/May_21,May_21,Day of the year
June: The first railway track in Indonesia was laid between Semarang and Tanggun,64,,,war-politics,"June: The first railway track in Indonesia was laid between Semarang and Tanggung, Central Java by the Dutch colonial government . [ 64 ]",2,Europe,,https://en.wikipedia.org/wiki/Rail_transport_in_Indonesia,Rail_transport_in_Indonesia,
"July 23 : Apolinario Mabini , the Brains of the Revolution, was born",23,,,war-politics,"July 23 : Apolinario Mabini , the Brains of the Revolution, was born.",1,Global,revolution;evolution,https://en.wikipedia.org/wiki/July_23,July_23,
"April 9 : Robert E. Lee surrenders the Army of Northern Virginia (26,765 troops)",9,,,war-politics,"April 9 : Robert E. Lee surrenders the Army of Northern Virginia (26,765 troops) to Ulysses S. Grant at Appomattox Courthouse, Virginia , effectively ending the American Civil War .",1,Americas,war,https://en.wikipedia.org/wiki/April_9,April_9,
April 14 : United States President Abraham Lincoln is assassinated by actor and,1865,4,15,war-politics,"April 14 : United States President Abraham Lincoln is assassinated by actor and Confederate sympathiser John Wilkes Booth , while attending a performance at Ford's Theater , Washington, D.C. He dies approximately nine hours after being shot on April 15, 1865.",2,Americas,,https://en.wikipedia.org/wiki/April_14,April_14,
"The Expatriation Act of 1868 is approved by the U.S. Congress, one of the early",1868,,,war-politics,"The Expatriation Act of 1868 is approved by the U.S. Congress, one of the early blows which would eventually lead to the death of the common law doctrine of perpetual allegiance.",2,Global,,https://en.wikipedia.org/wiki/Expatriation_Act_of_1868,Expatriation_Act_of_1868,
First transcontinental railroad completed in United States on 10 May. – United S,10,,,exploration-disasters,First transcontinental railroad completed in United States on 10 May. – United States,2,Americas,,https://en.wikipedia.org/wiki/First_transcontinental_railroad,First_transcontinental_railroad,
Official dismantling of the Cultivation System and beginning of a ' Liberal Poli,65,,,war-politics,Official dismantling of the Cultivation System and beginning of a ' Liberal Policy ' of deregulated exploitation of the Netherlands East Indies. [ 65 ],2,Europe,,https://en.wikipedia.org/wiki/Cultivation_System,Cultivation_System,
List of famines,2,,,exploration-disasters,1871–1872: Famine in Persia is believed to have caused the death of 2 million.,2,Asia,famine,https://en.wikipedia.org/wiki/List_of_famines,List_of_famines,
February 17,17,,,war-politics,February 17 is the 48th day of the year in the Gregorian calendar; 317 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/February_17,February_17,Day of the year
Susan B. Anthony,1872,,,war-politics,"Susan B. Anthony was an American social reformer and women's rights activist who played a pivotal role in the women's suffrage movement. Born into a Quaker family committed to social equality, she collected anti-slavery petitions at the age of 17. In 1856, she became the New York state agent for the American Anti-Slavery Society.",2,Americas,,https://en.wikipedia.org/wiki/Susan_B._Anthony,Susan_B._Anthony,American women's rights activist (1820–1906)
Panic of 1873,1873,,,war-politics,"The Panic of 1873 was a financial crisis that triggered an economic depression in Europe and North America that lasted from 1873 to 1877, continuing until 1879 in the French Third Republic and in the United Kingdom of Great Britain and Ireland. In Britain, the panic started two decades of stagnation known as the ""Long Depression"" that weakened the country's economic leadership.",2,Europe,art;europe;republic,https://en.wikipedia.org/wiki/Panic_of_1873,Panic_of_1873,Financial crisis leading to economic depression in Europe and North America
Aceh War,65,,,war-politics,"The Aceh War, was an armed military conflict between the Sultanate of Aceh and the Kingdom of the Netherlands which was triggered by discussions between representatives of Aceh and the United States in Singapore during early 1873. The war was part of a series of conflicts in the late 19th century that consolidated Dutch rule over modern-day Indonesia.",2,Europe,war;art;modern,https://en.wikipedia.org/wiki/Aceh_War,Aceh_War,1873–1904 Dutch colonial war in Aceh Sultanate
Famine in India,26,,,exploration-disasters,"Famine has been a recurrent feature of life in the Indian subcontinent countries of India and Bangladesh, most commonly cited as a feature of British rule. Famines in India resulted in millions of deaths over the course of the 18th, 19th, and early 20th centuries.",2,Asia,famine,https://en.wikipedia.org/wiki/Famine_in_India,Famine_in_India,Phenomenon of famines in the Indian subcontinent
Famine,13,,,exploration-disasters,"A famine is a widespread scarcity of food caused by several possible factors, including, but not limited to: war, natural disasters, crop failure, widespread poverty, an economic catastrophe or government policies. This phenomenon is usually accompanied or followed by regional malnutrition, starvation, epidemic, and increased mortality.",2,Global,war;disaster;famine,https://en.wikipedia.org/wiki/Famine,Famine,Widespread scarcity of food
August 17,17,,,war-politics,August 17 is the 229th day of the year in the Gregorian calendar; 136 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/August_17,August_17,Day of the year
Telephone exchange,18,,,science-technology,"A telephone exchange, telephone switch, or central office is a central component of a telecommunications system in the public switched telephone network (PSTN) or in large enterprises. It facilitates the establishment of communication circuits, enabling telephone calls between subscribers.",2,Global,,https://en.wikipedia.org/wiki/Telephone_exchange,Telephone_exchange,Telecommunication system for establishing telephone calls
April 21,21,,,war-politics,April 21 is the 111th day of the year in the Gregorian calendar; 254 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/April_21,April_21,Day of the year
Louis Pasteur,14,,,science-technology,"Louis Pasteur was a French chemist, pharmacist, and microbiologist renowned for his discoveries of the principles of vaccination, microbial fermentation, and pasteurization, the last of which was named after him.",1,Global,,https://en.wikipedia.org/wiki/Louis_Pasteur,Louis_Pasteur,"French chemist, pharmacist and microbiologist (1822–1895)"
Rock Springs massacre,28,,,war-politics,"The Rock Springs massacre, also known as the Rock Springs riot, occurred on September 2, 1885, in the present-day United States city of Rock Springs in Sweetwater County, Wyoming. The riot, and resulting massacre of immigrant Chinese miners by European immigrant miners, was the result of racial prejudice toward the Chinese miners, who were accused of taking jobs from the existing miners.",2,Europe,war;europe,https://en.wikipedia.org/wiki/Rock_Springs_massacre,Rock_Springs_massacre,"1885 massacre in Wyoming, US"
Schoolhouse Blizzard devastates the Dakota Territory in the US killing 235 peopl,235,,,art-culture-religion,"Schoolhouse Blizzard devastates the Dakota Territory in the US killing 235 people, many of them children coming home from school",2,Global,,https://en.wikipedia.org/wiki/Schoolhouse_Blizzard,Schoolhouse_Blizzard,
Founding of the shipping line Koninklijke Paketvaart-Maatschappij (KPM) that sup,65,,,art-culture-religion,Founding of the shipping line Koninklijke Paketvaart-Maatschappij (KPM) that supported the unification and development of the colonial economy. [ 65 ],2,Global,art;economy,https://en.wikipedia.org/wiki/Koninklijke_Paketvaart-Maatschappij,Koninklijke_Paketvaart-Maatschappij,
Chilean Civil War,1891,,,war-politics,1891 Chilean Civil War .,1,Americas,war,https://en.wikipedia.org/wiki/1891_Chilean_Civil_War,1891_Chilean_Civil_War,
Lombok War [ 65 ] The Dutch looted and destroyed the Cakranegara palace of Matar,65,,,science-technology,"Lombok War [ 65 ] The Dutch looted and destroyed the Cakranegara palace of Mataram . [ 66 ] J. L. A. Brandes, a Dutch philologist discovered and secured Nagarakretagama manuscript in Lombok royal library.",2,Europe,war,https://en.wikipedia.org/wiki/Dutch_intervention_in_Lombok_and_Karangasem,Dutch_intervention_in_Lombok_and_Karangasem,
Benin Expedition of 1897,1897,,,war-politics,"The Benin Expedition of 1897 was a punitive expedition by a British force of 1,200 men under Sir Harry Rawson. It came in response to the ambush and slaughter of a 250-strong party led by British Acting Consul General James Phillips of the Niger Coast Protectorate. Rawson's troops captured Benin City and the Kingdom of Benin was eventually absorbed into colonial Nigeria.",2,Africa,art,https://en.wikipedia.org/wiki/Benin_Expedition_of_1897,Benin_Expedition_of_1897,British invasion of the Kingdom of Benin
Panic of 1893 ends in United States; prosperity restored,1893,,,war-politics,Panic of 1893 ends in United States; prosperity restored.,2,Americas,,https://en.wikipedia.org/wiki/Panic_of_1893,Panic_of_1893,
The term graveyard shift [ 67 ] was first documented,67,,,war-politics,The term graveyard shift [ 67 ] was first documented,2,Global,,,,
1900: Zeppelin LZ 1 airship first produced,1,,,war-politics,1898–1900: Zeppelin LZ 1 airship first produced.,2,Global,,https://en.wikipedia.org/wiki/Zeppelin_LZ_1,Zeppelin_LZ_1,
General van Heutz becomes chief of staff of Aceh campaign. Wilhelmina becomes qu,65,,,war-politics,General van Heutz becomes chief of staff of Aceh campaign. Wilhelmina becomes queen of the Netherlands. [ 65 ],2,Europe,,https://en.wikipedia.org/wiki/General_van_Heutz,General_van_Heutz,
1900: Indian famine kills over 1 million people,1,,,exploration-disasters,1899–1900: Indian famine kills over 1 million people.,2,Asia,famine,https://en.wikipedia.org/wiki/Indian_famine_of_1899%E2%80%931900,Indian_famine_of_1899–1900,
Hague Conventions of 1899 and 1907,1899,,,science-technology,"The Hague Conventions of 1899 and 1907 are a series of international treaties and declarations negotiated at two international peace conferences at The Hague in the Netherlands, the First Hague Conference of 1899 and the Second Hague Conference of 1907.",2,Europe,,https://en.wikipedia.org/wiki/Hague_Conventions_of_1899_and_1907,Hague_Conventions_of_1899_and_1907,Yielded international treaties and declarations on the laws of war
"^ hradmin (2016-07-20). ""The First Barbary War 1801–05 - The History Reader"" . T",2016,7,20,war-politics,"^ hradmin (2016-07-20). ""The First Barbary War 1801–05 - The History Reader"" . The History Reader . Retrieved 2026-01-21 .",2,Global,war,,,
"^ ""Ceres - NASA Science"" . 2018-10-18 . Retrieved 2026-01-21",2018,10,18,war-politics,"^ ""Ceres - NASA Science"" . 2018-10-18 . Retrieved 2026-01-21 .",2,Global,science,,,
"^ patrick-lb (2019-01-14). ""Giuseppe Piazzi and the Discovery of Ceres"" . Vatica",2019,1,14,science-technology,"^ patrick-lb (2019-01-14). ""Giuseppe Piazzi and the Discovery of Ceres"" . Vatican Observatory . Retrieved 2026-01-21 .",2,Global,discovery,,,
"^ ""History of the United Kingdom of Great Britain and Northern Ireland, the reig",2025,11,13,war-politics,"^ ""History of the United Kingdom of Great Britain and Northern Ireland, the reign of Elizabeth I, and U.K. entry in WW I and WW II | Britannica"" . Encyclopedia Britannica . Archived from the original on 2025-11-13 . Retrieved 2026-01-21 .",2,Europe,,,,
"^ Little, Becky (2019-12-20). ""How Scotland, Wales and Northern Ireland Became a",2019,12,20,art-culture-religion,"^ Little, Becky (2019-12-20). ""How Scotland, Wales and Northern Ireland Became a Part of the U.K."" HISTORY . Retrieved 2026-01-21 .",2,Global,art,,,
"^ ""Remembering Maharaja Ranjeet Singh - Lion of Punjab! - International Non-Prof",2014,6,30,science-technology,"^ ""Remembering Maharaja Ranjeet Singh - Lion of Punjab! - International Non-Profit Organization | Charitable NGO for Education"" . 2014-06-30 . Retrieved 2026-01-21 .",2,Global,,,,
"^ ""Concordat of 1801 | Napoleonic, Catholic Church, Revolution | Britannica"" . E",2025,12,24,war-politics,"^ ""Concordat of 1801 | Napoleonic, Catholic Church, Revolution | Britannica"" . Encyclopedia Britannica . Archived from the original on 2025-12-24 . Retrieved 2026-01-21 .",1,Global,revolution;evolution,,,
"^ ""Life of Alexander I, tsar of Russia | Britannica"" . Encyclopedia Britannica",2025,12,3,war-politics,"^ ""Life of Alexander I, tsar of Russia | Britannica"" . Encyclopedia Britannica . Archived from the original on 2025-12-03 . Retrieved 2026-01-21 .",2,Global,,,,
"^ The British Newspaper Archive. ""Cobbett's Weekly Political Register in British",2024,12,27,art-culture-religion,"^ The British Newspaper Archive. ""Cobbett's Weekly Political Register in British Newspaper Archive"" . www.britishnewspaperarchive.co.uk . Archived from the original on 2024-12-27 . Retrieved 2026-01-21 .",2,Global,,,,
"^ ""Political Register | English newspaper | Britannica"" . Encyclopedia Britannic",2025,7,20,art-culture-religion,"^ ""Political Register | English newspaper | Britannica"" . Encyclopedia Britannica . Archived from the original on 2025-07-20 . Retrieved 2026-01-21 .",2,Global,,,,
"^ Editors, HISTORY com (2009-12-02). ""Louisiana Purchase - Definition, Facts & I",2009,12,2,war-politics,"^ Editors, HISTORY com (2009-12-02). ""Louisiana Purchase - Definition, Facts & Importance"" . HISTORY . Retrieved 2026-01-21 . {{ cite web }} : |last= has generic name ( help )",2,Global,,,,
"^ ""Saudi Arabia - Wahhabi, Islam, Arabian Peninsula | Britannica"" . Encyclopedia",2025,10,12,art-culture-religion,"^ ""Saudi Arabia - Wahhabi, Islam, Arabian Peninsula | Britannica"" . Encyclopedia Britannica . Archived from the original on 2025-10-12 . Retrieved 2026-01-21 .",2,Middle East,,,,
"^ Sumarlan, Sutrimo (2022-01-01). ""Strategy of Universal War:Padri War in The Fa",2022,1,1,science-technology,"^ Sumarlan, Sutrimo (2022-01-01). ""Strategy of Universal War:Padri War in The Face of the Netherlands in Minangkabau in 1803-1838"" . International Journal of Research and Innovation in Social Science .",2,Europe,war;science,,,
"^ ""Encyclopædia Britannica: Herman Willem Daendels"" . www.britannica.com . Retri",29,,,war-politics,"^ ""Encyclopædia Britannica: Herman Willem Daendels"" . www.britannica.com . Retrieved 29 March 2009 .",2,Global,,,,
"^ Frederick Artz, Reaction and Revolution, 1814–1832 (1934)",1934,,,war-politics,"^ Frederick Artz, Reaction and Revolution, 1814–1832 (1934)",1,Global,art;revolution;evolution,,,
"^ John D. Post, ""The economic crisis of 1816–1817 and its social and political c",1970,,,science-technology,"^ John D. Post, ""The economic crisis of 1816–1817 and its social and political consequences."" Journal of Economic History 30.1 (1970): 248-250.",2,Global,,,,
"^ ""Multidrug-Resistant Tuberculosis"" . Centers for Disease Control and Preventio",2009,4,21,war-politics,"^ ""Multidrug-Resistant Tuberculosis"" . Centers for Disease Control and Prevention. Archived from the original on April 21, 2009.",2,Global,,,,
"^ ""The Phonautograms of Édouard-Léon Scott de Martinville"" . www.firstsounds.org",2024,8,14,art-culture-religion,"^ ""The Phonautograms of Édouard-Léon Scott de Martinville"" . www.firstsounds.org . Retrieved 2024-08-14 .",2,Global,art,,,
"^ ""The Emancipation Proclamation"" . www.archives.gov . 6 October 2015 . Retrieve",2024,8,14,war-politics,"^ ""The Emancipation Proclamation"" . www.archives.gov . 6 October 2015 . Retrieved 2024-08-14 .",3,Global,,,,
"^ McPherson, J. M. (2014). ""Emancipation Proclamation and Thirteenth Amendment""",2018,11,6,war-politics,"^ McPherson, J. M. (2014). ""Emancipation Proclamation and Thirteenth Amendment"" . The Reader's Companion to American History . Boston, MA: Houghton Mifflin. Archived from the original on 2018-11-06.",3,Americas,,,,
"^ Hamdani, Sylviana (3 February 2010). ""Taking a Train Trip Down Memory Lane in",3,,,war-politics,"^ Hamdani, Sylviana (3 February 2010). ""Taking a Train Trip Down Memory Lane in Indonesia"" . Jakarta Globe . Archived from the original on 7 October 2010 . Retrieved 3 February 2010 .",2,Asia,art,https://en.wikipedia.org/wiki/Jakarta_Globe,Jakarta_Globe,
"^ a b c d e Vickers (2005), page xii",2005,,,war-politics,"^ a b c d e Vickers (2005), page xii",2,Global,,,,
"^ ""Dislike the Late Shift"" . Utah Digital Newspapers . Salt Lake Tribune . Retri",7,,,art-culture-religion,"^ ""Dislike the Late Shift"" . Utah Digital Newspapers . Salt Lake Tribune . Retrieved 7 June 2024 .",2,Global,,,,
"Grant, A. J. and Harold Temperley. Europe in the nineteenth and twentieth centur",1940,,,war-politics,"Grant, A. J. and Harold Temperley. Europe in the nineteenth and twentieth centuries (1789-1939) (1940) online",2,Europe,europe,,,
"Langer, William, ed. An Encyclopedia of World History (5th ed. 1973); highly det",1973,,,war-politics,"Langer, William, ed. An Encyclopedia of World History (5th ed. 1973); highly detailed outline of events online",2,Global,,,,
"Murphy, Derrick. AS/A-level 19th & 20th century European & world history (2002)",2002,,,war-politics,"Murphy, Derrick. AS/A-level 19th & 20th century European & world history (2002) online",2,Europe,europe,,,
"Morris, Richard B. and Graham W. Irwin, eds. Harper Encyclopedia of the Modern W",1760,,,war-politics,"Morris, Richard B. and Graham W. Irwin, eds. Harper Encyclopedia of the Modern World: A Concise Reference History from 1760 to the Present (1970) online",2,Global,modern,,,
"Gladden, Rhodes. Kalispell Montana 59901. Call me at (406) 871 7070",406,,,war-politics,"Gladden, Rhodes. Kalispell Montana 59901. Call me at (406) 871 7070",2,Global,,,,
Articles needing additional references from September 2022,2022,,,art-culture-religion,Articles needing additional references from September 2022,2,Global,art,,,
"This page was last edited on 22 June 2026, at 06:13 (UTC)",22,,,war-politics,"This page was last edited on 22 June 2026, at 06:13 (UTC) .",2,Global,,,,
1900s Toggle 1900s subsection 1.1 1901 1.2 1902 1.3 1903 1.4 1904 1.5 1905 1.6 1,1,,,war-politics,1 1900s Toggle 1900s subsection 1.1 1901 1.2 1902 1.3 1903 1.4 1904 1.5 1905 1.6 1906 1.7 1907 1.8 1908 1.9 1909,2,Global,,,,
1910s Toggle 1910s subsection 2.1 1910 2.2 1911 2.3 1912 2.4 1913 2.5 1914 2.6 1,2,,,war-politics,2 1910s Toggle 1910s subsection 2.1 1910 2.2 1911 2.3 1912 2.4 1913 2.5 1914 2.6 1915 2.7 1916 2.8 1917 2.9 1918 2.10 1919,2,Global,,,,
1920s Toggle 1920s subsection 3.1 1920 3.2 1921 3.3 1922 3.4 1923 3.5 1924 3.6 1,3,,,war-politics,3 1920s Toggle 1920s subsection 3.1 1920 3.2 1921 3.3 1922 3.4 1923 3.5 1924 3.6 1925 3.7 1926 3.8 1927 3.9 1928 3.10 1929,2,Global,,,,
1930s Toggle 1930s subsection 4.1 1930 4.2 1931 4.3 1932 4.4 1933 4.5 1934 4.6 1,4,,,war-politics,4 1930s Toggle 1930s subsection 4.1 1930 4.2 1931 4.3 1932 4.4 1933 4.5 1934 4.6 1935 4.7 1936 4.8 1937 4.9 1938 4.10 1939,2,Global,,,,
1940s Toggle 1940s subsection 5.1 1940 5.2 1941 5.3 1942 5.4 1943 5.5 1944 5.6 1,5,,,war-politics,5 1940s Toggle 1940s subsection 5.1 1940 5.2 1941 5.3 1942 5.4 1943 5.5 1944 5.6 1945 5.7 1946 5.8 1947 5.9 1948 5.10 1949,2,Global,,,,
1950s Toggle 1950s subsection 6.1 1950 6.2 1951 6.3 1952 6.4 1953 6.5 1954 6.6 1,6,,,war-politics,6 1950s Toggle 1950s subsection 6.1 1950 6.2 1951 6.3 1952 6.4 1953 6.5 1954 6.6 1955 6.7 1956 6.8 1957 6.9 1958 6.10 1959,2,Global,,,,
1960s Toggle 1960s subsection 7.1 1960 7.2 1961 7.3 1962 7.4 1963 7.5 1964 7.6 1,7,,,war-politics,7 1960s Toggle 1960s subsection 7.1 1960 7.2 1961 7.3 1962 7.4 1963 7.5 1964 7.6 1965 7.7 1966 7.8 1967 7.9 1968 7.10 1969,2,Global,,,,
1970s Toggle 1970s subsection 8.1 1970 8.2 1971 8.3 1972 8.4 1973 8.5 1974 8.6 1,8,,,war-politics,8 1970s Toggle 1970s subsection 8.1 1970 8.2 1971 8.3 1972 8.4 1973 8.5 1974 8.6 1975 8.7 1976 8.8 1977 8.9 1978 8.10 1979,2,Global,,,,
1980s Toggle 1980s subsection 9.1 1980 9.2 1981 9.3 1982 9.4 1983 9.5 1984 9.6 1,9,,,war-politics,9 1980s Toggle 1980s subsection 9.1 1980 9.2 1981 9.3 1982 9.4 1983 9.5 1984 9.6 1985 9.7 1986 9.8 1987 9.9 1988 9.10 1989,2,Global,,,,
1990s Toggle 1990s subsection 10.1 1990 10.2 1991 10.3 1992 10.4 1993 10.5 1994,10,,,war-politics,10 1990s Toggle 1990s subsection 10.1 1990 10.2 1991 10.3 1992 10.4 1993 10.5 1994 10.6 1995 10.7 1996 10.8 1997 10.9 1998 10.10 1999,2,Global,,,,
Horizontal timelines Toggle Horizontal timelines subsection 12.1 1850–present 12,12,,,war-politics,12 Horizontal timelines Toggle Horizontal timelines subsection 12.1 1850–present 12.2 1900–2000,2,Global,,,,
January 1 : The Australian colonies federate . [ 1 ],1,,,war-politics,January 1 : The Australian colonies federate . [ 1 ],2,Oceania,,https://en.wikipedia.org/wiki/January_1,January_1,
January 22 : Edward VII became King of England and Emperor of India after Queen,22,,,war-politics,January 22 : Edward VII became King of England and Emperor of India after Queen Victoria 's death.,2,Europe,war,https://en.wikipedia.org/wiki/January_22,January_22,
March 2 : The Platt Amendment provides for Cuban independence in exchange for th,2,,,war-politics,March 2 : The Platt Amendment provides for Cuban independence in exchange for the withdrawal of American troops.,1,Americas,independence,https://en.wikipedia.org/wiki/March_2,March_2,
June : Emily Hobhouse reports on the poor conditions in 45 British internment ca,45,,,war-politics,June : Emily Hobhouse reports on the poor conditions in 45 British internment camps for Boer women and children in South Africa .,2,Africa,africa,https://en.wikipedia.org/wiki/June_1901,June_1901,
September 6,6,,,war-politics,September 6 is the 249th day of the year in the Gregorian calendar; 116 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/September_6,September_6,Day of the year
September 7,7,,,war-politics,September 7 is the 250th day of the year in the Gregorian calendar; 115 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/September_7,September_7,Day of the year
December 10,10,,,war-politics,December 10 is the 344th day of the year in the Gregorian calendar; 21 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/December_10,December_10,Day of the year
December 12,12,,,war-politics,December 12 is the 346th day of the year in the Gregorian calendar; 19 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/December_12,December_12,Day of the year
January 13,13,,,war-politics,January 13 is the 13th day of the year in the Gregorian calendar; 352 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/January_13,January_13,Day of the year
May 20,20,,,war-politics,May 20 is the 140th day of the year in the Gregorian calendar; 225 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/May_20,May_20,Day of the year
May 31,31,,,war-politics,May 31 is the 151st day of the year in the Gregorian calendar; 214 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/May_31,May_31,Day of the year
July 12,12,,,war-politics,July 12 is the 193rd day of the year in the Gregorian calendar; 172 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/July_12,July_12,Day of the year
July 17,17,,,war-politics,July 17 is the 198th day of the year in the Gregorian calendar; 167 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/July_17,July_17,Day of the year
February 15,15,,,war-politics,February 15 is the 46th day of the year in the Gregorian calendar; 319 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/February_15,February_15,Day of the year
June 11,11,,,war-politics,June 11 is the 162nd day of the year in the Gregorian calendar; 203 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/June_11,June_11,Day of the year
July 1,1,,,war-politics,July 1 is the 182nd day of the year in the Gregorian calendar; 183 days remain until the end of the year.,2,Global,,https://en.wikipedia.org/wiki/July_1,July_1,Day of the year
